y (mm)	Axial d-spacing (Angstroms)	Axial error (Angstroms)	Transverse d-spacing (Angstroms)	Transverse error (Angstroms)
0.8	1.216075202	3.60765E-05	1.219787272	3.5038E-05
2.8	1.216866631	2.90079E-05	1.219585808	3.19984E-05
4.8	1.217960368	2.63114E-05	1.219237842	3.46417E-05
6.8	1.21909707	2.55698E-05	1.218838301	3.56215E-05
8.8	1.2202775	2.45083E-05	1.218383044	3.10521E-05
10.8	1.221385647	2.34768E-05	1.2179722	2.74309E-05
12.8	1.22127764	2.54939E-05	1.218053183	2.99731E-05
14.8	1.220454547	2.66062E-05	1.21838381	3.79196E-05
16.8	1.219401617	2.71023E-05	1.218655109	4.49022E-05
18.8	1.218236151	2.80434E-05	1.21893294	4.67449E-05
20.8	1.217455868	2.68869E-05	1.219277592	4.30615E-05
22.8	1.216738621	2.6337E-05	1.219673629	3.58941E-05
24.8	1.216027852	2.46744E-05	1.220002623	2.89066E-05
26.8	1.216307256	2.31893E-05	1.220116585	2.61383E-05
28.8	1.217415092	2.29784E-05	1.219803113	2.76757E-05
30.8	1.218665396	2.37023E-05	1.21944508	2.91754E-05
32.8	1.219725269	2.41144E-05	1.219080256	2.79142E-05
34.8	1.220726376	2.58005E-05	1.218605538	2.65293E-05
36.8	1.22158512	3.28001E-05	1.218157408	2.65621E-05
