Clip Gauge Length (mm)	Force (kN)
39.96542567	0.1323908
39.96527265	0.14119032
39.96538127	0.13454294
39.96545104	0.14019656
39.96536402	0.13920796
39.9654304	0.14254248
39.96540959	0.14479873
39.96551279	0.15034284
39.96558373	0.15349494
39.96551279	0.17021413
39.96565658	0.17170258
39.96572827	0.17957431
39.96575231	0.18416797
39.96586785	0.19977024
39.9659333	0.20378777
39.96610597	0.21962993
39.96608385	0.23214607
39.96626704	0.24624728
39.96630873	0.25107616
39.9663725	0.24966115
39.96645787	0.25677925
39.96651503	0.26560429
39.96660811	0.28278339
39.96672667	0.28231731
39.96675503	0.2946026
39.96685957	0.29964894
39.96688833	0.30927294
39.96700747	0.32114574
39.96706391	0.32747543
39.96716464	0.337699
39.96728752	0.33605391
39.96730936	0.35560569
39.96738006	0.35245076
39.96743889	0.36387834
39.96747421	0.36621395
39.96757782	0.3838259
39.96765702	0.3842577
39.96774647	0.3961305
39.96771733	0.40265808
39.96794502	0.40059456
39.96784631	0.40332797
39.96801253	0.4150897
39.96804859	0.42648429
39.96810321	0.43226263
39.96815533	0.4316605
39.96832086	0.43706882
39.96819856	0.44565684
39.96833179	0.45861587
39.96839776	0.4672884
39.96832816	0.47159475
39.9684555	0.47507742
39.96851567	0.4732883
39.96860869	0.47752768
39.9685815	0.49252859
39.96865775	0.50095791
39.96873074	0.52005726
39.96886939	0.51779276
39.9688469	0.5160374
39.96891307	0.52777517
39.96904216	0.52623004
39.96902186	0.53497159
39.96904833	0.54954612
39.96910915	0.5450027
39.96926519	0.54460567
39.96925021	0.55394834
39.96920502	0.56098914
39.96929646	0.5640021
39.9693735	0.56711274
39.96938505	0.56950295
39.96939187	0.57310307
39.96941526	0.58687371
39.96949542	0.58265293
39.96954352	0.58534199
39.96959269	0.58434206
39.96953097	0.60461116
39.96964737	0.59970599
39.96966873	0.60472041
39.9697013	0.60381347
39.96971258	0.61148089
39.96980714	0.60925144
39.96982981	0.61644608
39.96983975	0.6179902
39.9698751	0.61717266
39.96998138	0.62477821
39.97000483	0.62953109
39.96992519	0.63540298
39.97010454	0.63691306
39.97011589	0.63463926
39.97010197	0.63976085
39.97013101	0.64154613
39.97013574	0.6321522
39.97009014	0.64998984
39.97020928	0.64428157
39.97027038	0.64543587
39.97021881	0.65117401
39.97032438	0.65250373
39.97031382	0.654558
39.97037059	0.65978676
39.97038122	0.65023512
39.97045141	0.65723473
39.97041311	0.66175646
39.97047266	0.66468287
39.97054754	0.66546714
39.97063627	0.6727646
39.97058269	0.66473645
39.97070433	0.66688526
39.9705173	0.67553818
39.97071235	0.68285751
39.97061478	0.6794107
39.97067114	0.67776144
39.97081898	0.67798203
39.97073279	0.68511689
39.97081727	0.68697196
39.97080712	0.6870451
39.97087027	0.69435906
39.97096425	0.6903621
39.97096631	0.68983239
39.97096374	0.69636482
39.97097454	0.6968224
39.97095174	0.7062012
39.97113849	0.7005952
39.97102792	0.70537537
39.97109889	0.70635885
39.9710499	0.71351713
39.97107122	0.7057302
39.97119318	0.71298331
39.97123312	0.7129637
39.97135699	0.71676511
39.97125897	0.71137327
39.97127361	0.71652597
39.97137832	0.71438313
39.97130786	0.7274071
39.9714557	0.72533429
39.97149373	0.7258684
39.97140784	0.723876
39.97147909	0.72600132
39.9715684	0.732297
39.97143311	0.73055685
39.97169591	0.72356063
39.97158054	0.72926962
39.97163361	0.73403877
39.97160416	0.72628474
39.97164427	0.73703212
39.9717029	0.73597652
39.97171854	0.73889029
39.97173907	0.74195582
39.97163769	0.73920387
39.97175471	0.74803919
39.97186	0.741229
39.9717916	0.74197644
39.97186459	0.73444504
39.97196694	0.74698156
39.97198069	0.75320822
39.97206554	0.75080562
39.97192717	0.75295055
39.9721095	0.75440985
39.97218263	0.75080043
39.97211454	0.74661362
39.97216737	0.74964595
39.97224853	0.76390171
39.97216463	0.763304
39.97231048	0.75431609
39.97225195	0.76213527
39.97231319	0.76191884
39.97229303	0.75789177
39.97229155	0.75192177
39.97230249	0.76353276
39.9722343	0.7613796
39.9722957	0.76283401
39.97229125	0.76780021
39.9724551	0.763035
39.97244416	0.76949352
39.97237031	0.76285666
39.97252511	0.7665962
39.97247639	0.77126539
39.97248386	0.76757115
39.97253522	0.77076447
39.97255305	0.77208984
39.97260345	0.77337217
39.97254301	0.76906168
39.97247238	0.77095515
39.97269832	0.76723105
39.97253478	0.77667552
39.97258727	0.77164876
39.97265574	0.78248787
39.97260966	0.78622431
39.97270285	0.78340429
39.97279079	0.77630967
39.9727443	0.78086644
39.9728055	0.78698897
39.97272897	0.77875346
39.97282473	0.78124779
39.97281174	0.78925449
39.97281208	0.79124588
39.97283269	0.79309607
39.97296009	0.79217964
39.97292776	0.78253734
39.97286704	0.79391438
39.97287019	0.79238468
39.97299863	0.78921843
39.97292011	0.79194152
39.97305115	0.79616237
39.97305537	0.79834521
39.97300514	0.79679
39.97307351	0.80043477
39.97308671	0.78896803
39.97311767	0.79079449
39.97313402	0.79990298
39.97322138	0.79634374
39.97315254	0.80284041
39.97314877	0.79144996
39.97315387	0.79781777
39.97317571	0.80619246
39.97324549	0.79925984
39.97322296	0.81083661
39.97328056	0.81047589
39.97336086	0.80876613
39.97336103	0.81634903
39.97328481	0.81316704
39.97339093	0.80883414
39.97339117	0.81361872
39.97340035	0.81756949
39.97338647	0.82491851
39.97350225	0.81754476
39.97346183	0.81456792
39.9735831	0.81772929
39.97355046	0.8157863
39.97360905	0.82006383
39.97360418	0.82378459
39.97363089	0.82447016
39.97362835	0.8231023
39.97366843	0.82786834
39.97368938	0.8215273
39.97371815	0.82638091
39.97361306	0.83310455
39.97369377	0.82597482
39.97376135	0.82763952
39.97367971	0.83518559
39.97374115	0.83147699
39.97380928	0.83486402
39.97377462	0.83562362
39.97384099	0.83708191
39.973828	0.83747995
39.97382011	0.83017302
39.97390953	0.84463108
39.9738891	0.84356207
39.97397512	0.83868271
39.973942	0.84174591
39.97388121	0.84456921
39.97398825	0.85415792
39.97404815	0.83927321
39.97398074	0.84597808
39.97401582	0.85383946
39.97405405	0.84465683
39.97400725	0.84561324
39.97402782	0.84723258
39.9741413	0.84739435
39.97415821	0.85866427
39.97411929	0.85319126
39.97414144	0.84836829
39.97412694	0.85353547
39.97410294	0.8570717
39.97430666	0.85097933
39.97423449	0.85889715
39.97424553	0.8615213
39.97424927	0.85497111
39.97422376	0.86408162
39.97436659	0.8673718
39.97429926	0.86307365
39.97427224	0.86477208
39.9744797	0.85981131
39.97436618	0.86335504
