y (mm)	Axial d-spacing (Angstroms)	Axial error (Angstroms)	Transverse d-spacing (Angstroms)	Transverse error (Angstroms)
1.4	1.21638602	4.62052E-05	1.218322958	6.31497E-05
3.4	1.216785031	5.36359E-05	1.21855819	6.72674E-05
5.4	1.217154444	6.27278E-05	1.218319295	6.01664E-05
7.4	1.217951088	6.3224E-05	1.218216412	5.56395E-05
9.4	1.218516204	4.87139E-05	1.217886521	6.39214E-05
11.4	1.218921893	6.31515E-05	1.217853361	6.24848E-05
13.4	1.219718281	7.13895E-05	1.217241702	5.12064E-05
15.4	1.220827314	6.08281E-05	1.217508557	4.20085E-05
17.4	1.221444579	5.35323E-05	1.217526681	3.90222E-05
19.4	1.220933491	4.50002E-05	1.217255613	8.84573E-05
21.4	1.219565091	7.04402E-05	1.217478425	9.10883E-05
23.4	1.217515662	5.2058E-05	1.218426506	6.75437E-05
25.4	1.215008115	3.25152E-05	1.219225382	4.83245E-05
27.4	1.215431751	4.17478E-05	1.218828133	4.54201E-05
29.4	1.215312631	3.35065E-05	1.219186329	3.31393E-05
31.4	1.216541221	5.80516E-05	1.218882223	2.70665E-05
33.4	1.217355611	5.96665E-05	1.218991006	6.95955E-05
35.4	1.217688261	6.90998E-05	1.217997455	4.42792E-05
37.4	1.218327215	7.66193E-05	1.2177867	3.72938E-05
39.4	1.219162985	9.57241E-05	1.217749193	3.17014E-05
41.4	1.219581483	0.000137951	1.217508595	6.64289E-05
